Title,Appearance,count
Trump_2016/Trump_2016-09-30.txt ,,
Trump_2016/Trump_2016-10-03-A.txt ,,
Trump_2016/Trump_2016-10-03-B.txt ,"('applaus', 'go')",13
Trump_2016/Trump_2016-10-05.txt ,"('make', 'america')",8
Trump_2016/Trump_2016-10-06.txt ,,
Trump_2016/Trump_2016-10-10-A.txt ,"('e', 'mail')",12
Trump_2016/Trump_2016-10-10-B.txt ,,
Trump_2016/Trump_2016-10-11.txt ,"('applaus', 'go')",9
Trump_2016/Trump_2016-10-12.txt ,,
Trump_2016/Trump_2016-10-13.txt ,"('clinton', 'machin')",7
Trump_2016/Trump_2016-10-14-A.txt ,"('novemb', '8th')",7
Trump_2016/Trump_2016-10-14-B.txt ,,
Trump_2016/Trump_2016-10-17.txt ,,
Trump_2016/Trump_2016-10-18.txt ,"('audienc', ')",
Trump_2016/Trump_2016-10-21-A.txt ,,
Trump_2016/Trump_2016-10-21-B.txt ,"('go', 'start')",7
Trump_2016/Trump_2016-10-21-C.txt ,,
Trump_2016/Trump_2016-10-27.txt ,"('!>', 'trump')",5
Trump_2016/Trump_2016-10-28.txt ,"('never', 'seen')",7
Trump_2016/Trump_2016-10-31.txt ,"('unit', 'state')",8
Trump_2016/Trump_2016-11-01-A.txt ,,
Trump_2016/Trump_2016-11-01-B.txt ,"('applaus', 'also')",4
Trump_2016/Trump_2016-11-02-A.txt ,,
Trump_2016/Trump_2016-11-02-B.txt ,,
Trump_2016/Trump_2016-11-02-C.txt ,"('four', 'year')",6
Trump_2016/Trump_2016-11-03-A.txt ,,
Trump_2016/Trump_2016-11-03-B.txt ,"('novemb', '8th')",9
Trump_2016/Trump_2016-11-04-A.txt ,,
Trump_2016/Trump_2016-11-04-B.txt ,"('(', 'cheer')",12
Trump_2016/Trump_2016-11-04-C.txt ,"('inner', 'citi')",8
Trump_2016/Trump_2016-11-05-A.txt ,,
Trump_2016/Trump_2016-11-05-B.txt ,"('bring', 'back')",9
Trump_2016/Trump_2016-11-06.txt ,"('last', 'chanc')",6
Trump_2016/Trump_2016-11-07-A.txt ,,
Trump_2016/Trump_2016-11-07-B.txt ,,
Trump_2016/Trump_2016-11-07-C.txt ,,
Trump_2016/Trump_2016-11-07-D.txt ,"('thank', 'thank')",8
Trump_2016/Trump_2016-11-08.txt ,,
Trump_2016/Trump_2016-11-09.txt ,"('applaus', 'great')",4
