Title,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency
Trump_2016/Trump_2016-10-05.txt , applaus,91, go,77, countri,41, trump,35, job,34, like,33, one,32, get,30, want,28, say,27, peopl,27, clinton,27, deal,25, year,24, state,23, great,22, america,22, vote,22, back,21, make,21, know,19, hillari,19, american,19, ever,18, work,17, audienc,17, u,17, right,16, said,16, thank,15, love,15, also,15, happen,15, care,15, thing,14, boo,14, never,14, border,14, everi,13, let,13, way,12, good,12, take,12, world,12, ,11, much,11, tell,11, new,11,0,11, see, 11]
Trump_2016/Trump_2016-10-06.txt , go,139, know,75, peopl,74, trump,73, one,55, want,48, great,45, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-10-10-A.txt , go,115, applaus,68, peopl,57, hillari,49, clinton,46, back,42, know,41, countri,41, want,40, one,32, right,27, like,26, said,26, take,26, make,26, job,25, get,23, trump,22, say,22, trade,21, thing,20, state,18, would,18, u,18, come,18, year,17, bring,17, mean,17, way,17, love,16, tell,16, mani,16, deal,16, much,16, think,16, happen,16, pennsylvania,15, new,15, border,15, great,14, let,14, woman,14, ph,13, good,13, medium,13, last,13, world,13, work,13, big,12, fight, 12]
Trump_2016/Trump_2016-10-10-B.txt , go,182, applaus,100, said,55, peopl,50, know,46, want,45, trump,42, great,40, get,40, like,37, one,36, right,32, say,26, come,26, thing,25, hillari,25, countri,24, happen,23, never,23, tell,21, think,21, take,21, job,20, clinton,20, good,19, let,19, lot,19, boo,19, state,19, vote,19, guy,18, see,18, way,17, time,17, make,17, big,17, look,17, got,17, money,16, put,16, ,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-10-11.txt , go,110, peopl,56, applaus,53, clinton,42, get,40, hillari,37, countri,34, want,32, said,32, make,31, right,30, know,30, much,29, american,29, great,27, like,26, time,25, job,25, state,24, see,23, vote,23, america,22, trump,21, florida,21, got,21, one,21, deal,21, win,20, say,20, year,20, rememb,20, way,19, new,19, border,18, mani,18, trade,16, thing,16, u,15, e,14, mail,14, also,14, good,14, realli,13, ever,13, elect,13, folk,13, look,13, berni,13, percent,13, come, 12]
Trump_2016/Trump_2016-10-12.txt , go,104, applaus,78, peopl,63, know,53, said,50, trump,43, countri,40, ph,39, want,35, job,31, one,31, look,31, great,30, hillari,30, clinton,29, get,28, deal,26, !,26, make,25, state,24, ,23, believ,23, american,21, back,20, right,20, never,19, like,19, presid,19, say,18, let,18, take,18, florida,17, happen,17, inaud,16, ever,16, year,16, trade,15, boo,15, lot,15, see,15, OK,15, percent,15, time,14, bad,14, america,14, unit,14, audienc,14, ,,,,,
Trump_2016/Trump_2016-10-13.txt , applaus,57, peopl,42, stori,32, countri,30, clinton,27, trump,25, great,22, year,22, boo,21, go,19, time,18, would,18, corrupt,17, look,17, never,17, polit,16, one,16, mani,16, like,15, believ,15, know,15, new,14, ;,14, say,13, establish,13, american,13, lie,13, medium,13, seen,13, power,12, happen,12, elect,12, thing,12, job,11, work,11, said,11, even,11, control,10, hillari,10, york,10, let,10, nation,10, want,10, vote,10, campaign,9, love,9, movement,9, total,9, machin,9, fals, 9]
Trump_2016/Trump_2016-10-14-A.txt , go,91, applaus,57, countri,39, know,38, peopl,37, trump,36, get,34, happen,29, one,26, clinton,25, hillari,23, stori,23, job,20, come,20, think,19, say,18, said,18, never,18, year,17, great,16, right,16, like,16, percent,16, time,16, state,15, lie,15, thank,14, look,14, good,13, big,13, back,13, thing,13, !,12, take,12, make,12, day,11, talk,11, total,11, much,10, medium,10, deal,10, way,10, boo,10, OK,10, let,10, campaign,9, nation,9, bad,9, last,9, u, 9]
Trump_2016/Trump_2016-10-14-B.txt , go,149, applaus,105, peopl,57, right,49, know,43, countri,42, trump,38, look,31, said,29, job,28, get,28, year,28, happen,27, back,27, great,27, good,27, like,25, much,24, make,23, one,22, thing,22, time,22, want,22, state,21, hillari,21, work,21, way,20, compani,20, talk,20, say,20, tell,18, think,18, got,18, lot,17, take,17, come,15, leav,15, boo,15, percent,15, see,15, new,15, bring,14, day,14, well,14, give,13, never,13, ago,13, teleprompt,13, nobodi,12, big, 12]
Trump_2016/Trump_2016-10-17.txt , go,84, inaud,58, applaus,53, trump,48, peopl,38, job,37, countri,35, want,31, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
